title,group,source,final_delivery_path,reason,status
Start Here: Leatt Growth OS Case Study,01_MASTER_STORY,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\leatt_growth_os_case_study.pdf,01_MASTER_STORY\leatt_growth_os_case_study.pdf,Lead visual case study and best first-read artifact.,included
Story-Driven Executive Report,01_MASTER_STORY,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\leatt_story_driven_executive_report.pdf,01_MASTER_STORY\leatt_story_driven_executive_report.pdf,Board-style summary of the commercial story.,included
Medallion Architecture: Dirty To Clean,03_AZURE_FABRIC_DATA_FACTORY_PROOF,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\leatt_medallion_architecture_dirty_to_clean_report.pdf,03_AZURE_FABRIC_DATA_FACTORY_PROOF\leatt_medallion_architecture_dirty_to_clean_report.pdf,"Bronze/Silver/Gold architecture, dirty data cleansing rules and data-quality gates.",included
Premium Executive BI Report,02_POWERBI_AND_DASHBOARDS,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\leatt_premium_executive_bi_report.pdf,02_POWERBI_AND_DASHBOARDS\leatt_premium_executive_bi_report.pdf,Polished Power BI-style report pages.,included
Power BI ML Report Screenshots,02_POWERBI_AND_DASHBOARDS,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\leatt_powerbi_ml_report_screenshots.pdf,02_POWERBI_AND_DASHBOARDS\leatt_powerbi_ml_report_screenshots.pdf,Static Power BI/ML report evidence.,included
Fabric ERD And Deployment Report,03_AZURE_FABRIC_DATA_FACTORY_PROOF,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\leatt_erd_and_fabric_deployment_report.pdf,03_AZURE_FABRIC_DATA_FACTORY_PROOF\leatt_erd_and_fabric_deployment_report.pdf,"ERD, Lakehouse/Warehouse and Fabric architecture proof.",included
Evidence Addendum,03_AZURE_FABRIC_DATA_FACTORY_PROOF,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\evidence_addendum.pdf,03_AZURE_FABRIC_DATA_FACTORY_PROOF\evidence_addendum.pdf,Screenshot-based proof pack.,included
"Accounting, Governance And SAP Report",04_ACCOUNTING_SAP_GOVERNANCE,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\leatt_accounting_governance_sap_report.pdf,04_ACCOUNTING_SAP_GOVERNANCE\leatt_accounting_governance_sap_report.pdf,"Accounting reconciliation, data audit and SAP fit.",included
AI Commerce Command Center Report,05_AI_ML_SEO_MARKETING,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\ai_commerce_command_center_report.pdf,05_AI_ML_SEO_MARKETING\ai_commerce_command_center_report.pdf,"AI agents, operating model and automation layer.",included
"Growth, AI And Marketing Report",05_AI_ML_SEO_MARKETING,C:\Users\Anthony.DESKTOP-ES5HL78\Documents\Codex\2026-07-17\files-mentioned-by-the-user-codex-3\outputs\leatt-fabric-bi-ml-git-proof\artifacts\reports\leatt_growth_ai_marketing_report.pdf,05_AI_ML_SEO_MARKETING\leatt_growth_ai_marketing_report.pdf,"A/B testing, marketing, competitor and growth analysis.",included
