Capability,Job requirement,Project evidence,Coverage,Evidence location
End-to-end data architecture,"Architect, develop and optimize data pipelines/models using Microsoft Fabric, SQL Server, Azure Data Factory and related technologies.","Fabric architecture guide, Data Factory pipeline blueprint, Lakehouse/Warehouse SQL, Git export guide.",High,docs/ARCHITECTURE.md; docs/AZURE_FABRIC_EXPORT_TO_GIT.md; src/sql/fabric_gold_model.sql
Data warehouse and data lake design,Design scalable data warehousing and data lake solutions for advanced analytics and reporting.,"Bronze/Silver/Gold model, OneLake/Lakehouse design, SQLite warehouse, Parquet fact table, gold SQL views.",High,leatt_ecommerce_warehouse.sqlite; leatt_ecommerce_transactions_2m.parquet; src/sql/fabric_gold_model.sql
Power BI dashboards and DAX,Develop dynamic Power BI dashboards and reports with actionable insight.,"Excel/Power BI-ready semantic model, DAX measures, executive/category/customer/marketing/report pages.",High,src/powerbi/powerbi_dax_measures.dax; artifacts/reports/*.xlsx; artifacts/reports/*.pdf
AI-driven BI,Develop AI-driven data agents and automation tools.,"ML customer propensity, value segmentation, forecast model, AI roadmap, recommender/search assistant plan.",High,leatt_customer_ml_scores.csv; leatt_ai_roadmap.csv; leatt_growth_ai_marketing_report.pdf
Data engineering and orchestration,"Deep understanding of ETL/ELT, pipelines and orchestration.","Python extraction/generation scripts, Fabric Data Factory plan, REST extraction design, SAP/Shopify source mapping.",High,src/python/*.py; docs/ECOMMERCE_PLATFORM_RESEARCH.md; docs/SAP_ACCOUNTING_GOVERNANCE_INTEGRATION.md
"Governance, security and compliance","Oversee data governance, security, compliance and PII tracking.","Data governance policy, control matrix, audit exceptions, PII minimization, source register, account redaction.",High,leatt_data_governance.csv; leatt_data_controls.csv; evidence screenshots; source register
Azure and Power BI administration,"Optimize Azure and Power BI environments for performance, security and cost.","Azure credit plan, Fabric capacity guidance, pause/monitor capacity, Git/deployment pipeline plan.",Medium/High,leatt_azure_credit_plan.csv; docs/AZURE_FABRIC_EXPORT_TO_GIT.md
Stakeholder consulting,"Gather requirements, tailor BI solutions and provide strategic consulting.","Executive ebook, growth pack, SAP/accounting pack, competitor/SEO/marketing insights.",High,all portfolio reports and role-aligned talking points
Training and knowledge sharing,Conduct workshops and elevate BI expertise.,"Workshop plan, demo agenda, handover checklist, Git proof checklist.",Medium/High,docs/GIT_PROOF_CHECKLIST.md; job alignment workshop plan
Mentorship and continuous improvement,Mentor junior team members and build improvement culture.,"Code repo, documentation, reproducible scripts, QA checks, source register and control framework.",Medium/High,README.md; REPO_MANIFEST.csv; docs/SOURCE_CONTROL_STRATEGY.md
"SQL, DAX, Python and R","Advanced proficiency in SQL, DAX, Python and R.","Python pipelines, SQL gold model, DAX measures. R not used in this build but can be added for statistical validation.",High for SQL/DAX/Python; Planned for R,src/python; src/sql; src/powerbi
"Finance, sales and business domains","Preferred delivery experience for finance, sales, HR or geoscientific domains.","Finance reconciliation, VAT, GL demo, marketing ROI, sales/product/customer analytics.",High for finance and sales,leatt_accounting_governance_sap_report.pdf; leatt_growth_ai_marketing_report.pdf
International/global project readiness,Global projects and diverse business needs.,"Regional ZA Shopify storefront, global Leatt brand context, SAP/Shopify/Fabric portable architecture.",Medium/High,platform research and source register
