transaction_line_id,order_id,order_date,month,customer_id,product_id,variant_id,product_title,category,channel,device,province,city,quantity,unit_price_zar,discount_pct,gross_revenue_zar,discount_amount_zar,net_revenue_zar,estimated_unit_cost_zar,gross_margin_zar,return_flag,return_amount_zar,fulfillment_days,payment_method,campaign,source_system,ingested_at_utc,raw_file_name,data_quality_issue,source_issue_text,order_date_clean,silver_quality_status
1,10000000,2025-11-29 00:00:00,2025-11,60934,9193601859808,48753632968928,Elbow Protector Insert 3DF CE Level 1 - Body Protectors AirFit - Junior - Pair,Body Protection,Direct,Tablet,Gauteng,Johannesburg,4,299.0,0.0267,1196.0,31.933200000000003,1164.0668,162.75,513.0668000000001,0,0.0,2,Eft,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-11-29,clean
2,10000000,2026-02-14 00:00:00,2026-02,157343,9028215668960,47896641470688,Jersey MTB Endurance 6.0,Apparel,Direct,Mobile,Limpopo,Polokwane,3,1599.0,0.0305,4797.0,146.3085,4650.6915,703.99,2538.7214999999997,0,0.0,2,Instant Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-02-14,clean
3,10000001,2025-05-28 00:00:00,2025-05,38501,9028220649696,47896693801184,Glove ADV Rally 5.5,Gloves,Marketplace,Desktop,Gauteng,Johannesburg,2,1099.0,0.0307,2198.0,67.4786,2130.5214,516.52,1097.4814000000001,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-05-28,clean
4,10000002,2025-10-22 00:00:00,2025-10,16756,9028226482400,47896756453600,T-Shirt Core,Apparel,Direct,Mobile,Western Cape,Cape Town,3,599.0,0.0292,1797.0,52.4724,1744.5276,287.02,883.4676,0,0.0,5,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-10-22,clean
5,10000002,2026-02-14 00:00:00,2026-02,13007,9028225368288,47896749965536,Vest MTB Endurance 2.0,Body Protection,Marketplace,Tablet,Kwazulu-Natal,Durban,1,1189.0,0.0004,1189.0,0.4756,1188.5244,610.86,577.6644,0,0.0,3,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,standardisation_needed;,standardisation_needed;,2026-02-14,corrected
6,10000003,2024-03-28 00:00:00,2024-03,142845,9028229169376,47896773460192,Sweater Premium,Apparel,Email,Mobile,Limpopo,Polokwane,3,849.0,0.0541,2547.0,137.7927,2409.2073,413.04,1170.0873,0,0.0,2,Card,Crm Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-03-28,clean
7,10000004,2026-01-02 00:00:00,2026-01,32135,9028232184032,47896815894752,Jersey MTB Trail 3.0 - Long Sleeve - Women,Apparel,Paid Social,Mobile,Western Cape,Cape Town,3,799.0,0.0084,2397.0,20.1348,2376.8652,373.38,1256.7252000000003,0,0.0,2,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-01-02,clean
8,10000005,2025-09-22 00:00:00,2025-09,135199,9028231102688,47896800198880,Shoes Flat 2.0,Footwear,Paid Search,Mobile,North West,Rustenburg,2,1199.0,0.0199,2398.0,47.720200000000006,2350.2798,732.42,885.4397999999999,0,0.0,2,Payflex,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-09-22,clean
9,10000005,2026-03-21 00:00:00,2026-03,76520,9028219470048,47896680202464,Shoes ProFlat 3.0,Footwear,Organic Search,Mobile,Mpumalanga,Mbombela,1,2799.0,0.0028,2799.0,7.8372,2791.1628,1627.41,1163.7528,0,0.0,3,Instant Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-03-21,clean
10,10000006,2026-04-23 00:00:00,2026-04,120056,9028215472352,47896636915936,Gloves MTB 5.0 Endurance,Gloves,Email,Desktop,Northern Cape,Kimberley,1,849.0,0.0099,849.0,8.405100000000001,840.5949,380.44,460.15490000000005,0,0.0,1,Payflex,Crm Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-04-23,clean
