transaction_line_id,order_id,customer_id,product_title,category,channel,province,net_revenue_zar,return_flag,return_risk_score,risk_band
198367,10143743,51317,Boots 6.5,Footwear,Organic Search,International,40362.77,0,0.7116531216065367,High
63084,10045712,124165,Shoes Flat 1.0,Footwear,Organic Search,Northern Cape,1757.68,0,0.694155062167689,High
70229,10050889,139035,Socks MTB Endurance,Footwear,Organic Search,Northern Cape,511.01,0,0.6827789894138622,High
69409,10050295,7383,Shoes ProClip 5.0,Footwear,Organic Search,Northern Cape,5939.21,0,0.6820453712034681,High
166564,10120697,176252,Shoes ProClip 4.0,Footwear,Organic Search,Northern Cape,6679.12,0,0.6810077918285313,High
108530,10078644,53782,Boot ADV HydraDri 7.5,Footwear,Organic Search,KwaZulu-Natal,32279.51,0,0.6787849349291236,High
157569,10114179,116203,Strap Kit 4.5 - Adult,Footwear,Email,Northern Cape,429.32,1,0.6787424367770032,High
165115,10119647,150676,Shoes Clip 2.0 Endurance - Women,Footwear,Direct,Northern Cape,9925.56,0,0.6784809427917814,High
52789,10038252,96674,Shoes ProClip 8.0 Endurance,Footwear,Organic Search,Northern Cape,2945.98,0,0.6746659151092492,High
128577,10093171,17541,Socks MTB,Footwear,Paid Social,Northern Cape,191.49,0,0.6742830132837846,High
286882,10207884,3647,Boots 4.5 Enduro,Footwear,Organic Search,Western Cape,18080.74,0,0.6739322030106834,High
144602,10104783,179738,Socks MTB Endurance,Footwear,Organic Search,Northern Cape,190.85,0,0.6728420680253058,High
101162,10073305,58607,Shoes ProFlat 3.0,Footwear,Email,Northern Cape,5569.86,1,0.6725864385852591,High
287977,10208678,38941,Cleat shim set SPD - 4 pcs,Footwear,Organic Search,Northern Cape,195.56,0,0.6721441585860837,High
271179,10196505,83771,Shoes ProClip 5.0,Footwear,Organic Search,Northern Cape,3008.38,0,0.6720634106686917,High
245599,10177969,116646,Shoes ProFlat 3.0,Footwear,Organic Search,Northern Cape,2029.06,0,0.671658744568425,High
144098,10104418,107101,Shoes Clip 4.0,Footwear,Organic Search,Northern Cape,1784.78,0,0.6714377113826213,High
77700,10056303,157105,Shoes Flat 3.0,Footwear,Email,Northern Cape,1284.04,0,0.6709225437073147,High
56840,10041187,73505,Boots 4.5 Enduro,Footwear,Organic Search,Western Cape,27428.66,0,0.6704635794168151,High
299674,10217154,172338,Shoes Flat 3.0,Footwear,Direct,Northern Cape,1087.0,0,0.6685516118006146,High
244013,10176820,126394,Shoes Flat 1.0,Footwear,Direct,Northern Cape,786.4,0,0.668199811230766,High
290541,10210536,44157,Socks Moto,Footwear,Organic Search,Northern Cape,389.49,0,0.6680566512102964,High
192539,10139520,133123,Boot ADV HydraDri 7.5 Short,Footwear,Paid Social,KwaZulu-Natal,24792.39,0,0.667795686720529,High
10679,10007737,139651,Shoes ProClip 8.0 Endurance - Women,Footwear,Organic Search,International,18140.45,0,0.6675977371803838,High
226770,10164325,35420,Bar shims 5.5,Footwear,Organic Search,Northern Cape,780.84,0,0.6675645839678913,High
92551,10067065,41316,Shoes ProFlat 3.0 - Women,Footwear,Organic Search,Northern Cape,4112.5,0,0.6675310998021196,High
255798,10185360,50018,Pant ADV MultiTour 7.5,Apparel,Organic Search,Western Cape,45585.52,0,0.6667475856558541,High
27843,10020175,6114,Socks MTB,Footwear,Paid Social,Northern Cape,194.53,0,0.6666489100138449,High
62827,10045526,118442,Shoes Flat 1.0,Footwear,Email,Northern Cape,777.25,0,0.6663843694109084,High
257212,10186384,139195,Shoes Flat 3.0,Footwear,Organic Search,Northern Cape,1261.24,0,0.666370261009274,High
70939,10051404,17277,Shoes Flat 1.0,Footwear,Organic Search,Northern Cape,1437.4,0,0.6655973103089343,High
273527,10198207,157304,Boot ADV HydraDri 7.5,Footwear,Direct,Northern Cape,5927.21,0,0.6654100844117441,High
214095,10155140,2535,Buckle 4.5 - Adult - Pair,Footwear,Organic Search,Northern Cape,594.99,1,0.6650134099324098,High
271562,10196783,113994,Sole 4.5/5.5 Moto - Pair,Footwear,Direct,Northern Cape,1250.92,0,0.6648395246563348,High
