transaction_line_id,order_id,order_date,month,customer_id,product_id,variant_id,product_title,category,channel,device,province,city,quantity,unit_price_zar,discount_pct,gross_revenue_zar,discount_amount_zar,net_revenue_zar,estimated_unit_cost_zar,gross_margin_zar,return_flag,return_amount_zar,fulfillment_days,payment_method,campaign,source_system,ingested_at_utc,raw_file_name,data_quality_issue
1,10000000,2025-11-29 00:00:00,2025-11,60934,9193601859808,48753632968928,Elbow Protector Insert 3DF CE Level 1 - Body Protectors AirFit - Junior - Pair,Body Protection,Direct,Tablet,Gauteng,Johannesburg,4,299.0,0.0267,1196.0,31.96,1164.04,162.75,513.04,0,0.0,2,EFT,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
2,10000000,2026-02-14 00:00:00,2026-02,157343,9028215668960,47896641470688,Jersey MTB Endurance 6.0,Apparel,Direct,Mobile,Limpopo,Polokwane,3,1599.0,0.0305,4797.0,146.11,4650.89,703.99,2538.93,0,0.0,2,Instant EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
3,10000001,2025-05-28 00:00:00,2025-05,38501,9028220649696,47896693801184,Glove ADV Rally 5.5,Gloves,Marketplace,Desktop,Gauteng,Johannesburg,2,1099.0,0.0307,2198.0,67.55,2130.45,516.52,1097.41,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
4,10000002,2025-10-22 00:00:00,2025-10,16756,9028226482400,47896756453600,T-Shirt Core,Apparel,Direct,Mobile,Western Cape,Cape Town,3,599.0,0.0292,1797.0,52.46,1744.54,287.02,883.48,0,0.0,5,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
5,10000002,2026-02-14 00:00:00,2026-02,13007,9028225368288,47896749965536,Vest MTB Endurance 2.0,Body Protection,Marketplace,Tablet,KWAZULU-NATAL, Durban ,1,1189.0,0.0004,1189.0,0.47,1188.53,610.86,577.67,0,0.0,3,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,standardisation_needed;
6,10000003,2024-03-28 00:00:00,2024-03,142845,9028229169376,47896773460192,Sweater Premium,Apparel,Email,Mobile,Limpopo,Polokwane,3,849.0,0.0541,2547.0,137.74,2409.26,413.04,1170.13,0,0.0,2,Card,CRM Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
7,10000004,2026-01-02 00:00:00,2026-01,32135,9028232184032,47896815894752,Jersey MTB Trail 3.0 - Long Sleeve - Women,Apparel,Paid Social,Mobile,Western Cape,Cape Town,3,799.0,0.0084,2397.0,20.18,2376.82,373.38,1256.68,0,0.0,2,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
8,10000005,2025-09-22 00:00:00,2025-09,135199,9028231102688,47896800198880,Shoes Flat 2.0,Footwear,Paid Search,Mobile,North West,Rustenburg,2,1199.0,0.0199,2398.0,47.82,2350.18,732.42,885.34,0,0.0,2,Payflex,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
9,10000005,2026-03-21 00:00:00,2026-03,76520,9028219470048,47896680202464,Shoes ProFlat 3.0,Footwear,Organic Search,Mobile,Mpumalanga,Mbombela,1,2799.0,0.0028,2799.0,7.8,2791.2,1627.41,1163.79,0,0.0,3,Instant EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
10,10000006,2026-04-23 00:00:00,2026-04,120056,9028215472352,47896636915936,Gloves MTB 5.0 Endurance,Gloves,Email,Desktop,Northern Cape,Kimberley,1,849.0,0.0099,849.0,8.4,840.6,380.44,460.16,0,0.0,1,Payflex,CRM Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
11,10000007,2024-07-27 00:00:00,2024-07,84211,9028211343584,47896593891552,Goggle Velocity 5.5 Cryztal,Goggles,Direct,Desktop,Free State,Bloemfontein,1,1799.0,0.0408,1799.0,73.33,1725.67,843.41,882.25,0,0.0,3,EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
12,10000007,2025-01-15 00:00:00,2025-01,29889,9028225532128,47896752193760,Shoes ProClip 8.0 Endurance - Women,Footwear,Email,Mobile,Free State,Bloemfontein,3,2999.0,0.0115,8997.0,103.81,8893.19,1718.01,3739.16,0,0.0,2,EFT,CRM Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
13,10000008,2024-04-26 00:00:00,2024-04,178158,9028215963872,47896646320352,Foam/inner frame Velocity 6.5 Black Ventilated,Goggles,Direct,Desktop,Gauteng,Johannesburg,2,499.0,0.0389,998.0,38.83,959.17,232.21,494.75,0,0.0,1,Instant EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
14,10000009,2025-04-03 00:00:00,2025-04,36602,9028229791968,47896783093984,Shorts MTB Enduro 3.0 - Women,Apparel,Direct,Desktop,Western Cape,Cape Town,1,1699.0,0.0285,1699.0,48.35,1650.65,819.33,831.32,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
