timeframe,workstream,action,owner,expected_outcome
0-2 weeks,Technical audit,"Validate Product/ProductGroup schema, sitemap canonicals, index coverage, rendered HTML and Merchant Center feed health.",SEO/Data Engineering,"Blockers list with severity, owner and fix path."
0-2 weeks,Hero category content sprint,"Build an AI-search-ready Apparel hub with buyer questions, use-cases, comparison tables and internal links.",SEO/Content/Merchandising,Non-brand category query coverage and richer category authority.
2-4 weeks,Product feed enrichment,"Improve titles/descriptions, GTIN/SKU coverage, product highlights, shipping, return policy and high-quality images.",Ecommerce/Merchant Center,Higher product data completeness and shopping eligibility.
2-4 weeks,Facet governance,"Define index/noindex/canonical rules for size, color, activity, price, sort and campaign parameters.",SEO/Engineering,Reduced crawl waste and duplicate URL risk.
4-6 weeks,AI visibility dashboard,"Create Power BI report for AI share of voice, conversational query coverage, product term gaps and competitor presence.",BI/Marketing,Management visibility into AI-era search demand.
4-8 weeks,Profit-based SEO model,"Join SEO landing pages to revenue, margin, stock and returns in Fabric.",BI/Data Engineering,SEO priorities ranked by profit and operational risk.
8-12 weeks,Experiment loop,"Run A/B tests for category hub copy, PDP fit guidance, bundle messaging and FAQ modules.",Growth/BI,"Measured lift in conversion, AOV and return reduction."
0-2 weeks,Homepage H1 fix,"Change homepage H1 from the empty tag / 'HELMET REPLACEMENT PROGRAM' promo banner to the actual brand value proposition ('Push limits not luck' or equivalent) — verified via live crawl that this is the current state, not a hypothetical.",SEO/Theme Development,Search engines read the correct primary topic for the homepage instead of a secondary promo section.
0-2 weeks,Homepage/collection schema,"Add Organization + WebSite JSON-LD to the homepage and CollectionPage/BreadcrumbList JSON-LD to collection pages — verified via live crawl that these are currently absent while Product schema on PDPs is complete and correct.",SEO/Engineering,Closes the gap between the site's real UCP/agent layer and its on-page structured data; strengthens Knowledge Panel and sitelinks eligibility.
0-2 weeks,Image alt text,"Backfill alt text on the ~80% of images missing it (verified: 29/35 homepage, 51/63 collection, 35/58 product page) — prioritize hero/product imagery first.",Content/Merchandising,Recovers Google Images discovery on gear photography and closes an accessibility gap.
2-4 weeks,Collection meta descriptions,Write unique meta descriptions for collection pages (verified missing on /collections/moto) instead of relying on Google's auto-generated snippet.,SEO/Content,Reclaims control of SERP snippet copy and CTR on category pages.
2-4 weeks,Sitemap lastmod audit,"Investigate why sitemap_products_1.xml serves an identical lastmod (request-time timestamp) across all 1,199 sampled URLs rather than real per-product edit dates — file a fix request with the sitemap-generating app/theme if it's app-controlled, since Google may be discounting freshness signals from this sitemap entirely.",SEO/Engineering,Restores lastmod as a usable crawl-priority signal.
2-4 weeks,HSTS header fix,"Correct Strict-Transport-Security max-age=0 (verified live) to a real duration (e.g. max-age=31536000) to match the includeSubDomains/preload flags already present — currently the header is a no-op.",Engineering/Platform,Actually enforces HTTPS-only as the preload/includeSubDomains flags imply; currently cosmetic only.
